title,publish_time,authors
A human in vitro model system for investigating genome-wide host responses to SARS coronavirus infection,2004-09-09,"Ng, Lisa FP; Hibberd, Martin L; Ooi, Eng-Eong; Tang, Kin-Fai; Neo, Soek-Ying; Tan, Jenny; Krishna Murthy, Karuturi R; Vega, Vinsensius B; Chia, Jer-Ming; Liu, Edison T; Ren, Ee-Chee"
Logistics of community smallpox control through contact tracing and ring vaccination: a stochastic network model,2004-08-06,"Porco, Travis C; Holbrook, Karen A; Fernyak, Susan E; Portnoy, Diane L; Reiter, Randy; Aragón, Tomás J"
Virology on the Internet: the time is right for a new journal,2004-08-26,"Garry, Robert F"
A touchdown nucleic acid amplification protocol as an alternative to culture backup for immunofluorescence in the routine diagnosis of acute viral respiratory tract infections,2004-10-25,"Coyle, Peter V; Ong, Grace M; O'Neill, Hugh J; McCaughey, Conall; De Ornellas, Dennis; Mitchell, Frederick; Mitchell, Suzanne J; Feeney, Susan A; Wyatt, Dorothy E; Forde, Marian; Stockton, Joanne"
Clinical education of ethicists: the role of a clinical ethics fellowship,2004-11-08,"Chidwick, Paula; Faith, Karen; Godkin, Dianne; Hardingham, Laurie"
A systematic review of the effectiveness of antimicrobial rinse-free hand sanitizers for prevention of illness-related absenteeism in elementary school children,2004-11-01,"Meadows, Emily; Le Saux, Nicole"
Proteomics computational analyses suggest that the carboxyl terminal glycoproteins of Bunyaviruses are class II viral fusion protein (beta-penetrenes),2004-11-15,"Garry, Courtney E; Garry, Robert F"
Genome structure and transcriptional regulation of human coronavirus NL63,2004-11-17,"Pyrc, Krzysztof; Jebbink, Maarten F; Berkhout, Ben; van der Hoek, Lia"
The Structure of a Rigorously Conserved RNA Element within the SARS Virus Genome,2004-12-28,"Robertson, Michael P; Igel, Haller; Baertsch, Robert; Haussler, David; Ares, Manuel; Scott, William G"
SARS and hospital priority setting: a qualitative case study and evaluation,2004-12-19,"Bell, Jennifer AH; Hyland, Sylvia; DePellegrin, Tania; Upshur, Ross EG; Bernstein, Mark; Martin, Douglas K"
The involvement of survival signaling pathways in rubella-virus induced apoptosis,2005-01-04,"Cooray, Samantha; Jin, Li; Best, Jennifer M"
Bioinformatic mapping of AlkB homology domains in viruses,2005-01-03,"Bratlie, Marit S; Drabløs, Finn"
"Dynamic changes of serum SARS-Coronavirus IgG, pulmonary function and radiography in patients recovering from SARS after hospital discharge",2005-01-08,"Xie, Lixin; Liu, Youning; Fan, Baoxing; Xiao, Yueyong; Tian, Qing; Chen, Liangan; Zhao, Hong; Chen, Weijun"
Protein secretion in Lactococcus lactis : an efficient way to increase the overall heterologous protein production,2005-01-04,"Le Loir, Yves; Azevedo, Vasco; Oliveira, Sergio C; Freitas, Daniela A; Miyoshi, Anderson; Bermúdez-Humarán, Luis G; Nouaille, Sébastien; Ribeiro, Luciana A; Leclercq, Sophie; Gabriel, Jane E; Guimaraes, Valeria D; Oliveira, Maricê N; Charlier, Cathy; Gautier, Michel; Langella, Philippe"
Accuracy of parents in measuring body temperature with a tympanic thermometer,2005-01-11,"Robinson, Joan L; Jou, Hsing; Spady, Donald W"
Trade and Health: Is the Health Community Ready for Action?,2005-01-25,"Lee, Kelley; Koivusalo, Meri"
Locked nucleic acid (LNA) mediated improvements in siRNA stability and functionality,2005-01-14,"Elmén, Joacim; Thonberg, Håkan; Ljungberg, Karl; Frieden, Miriam; Westergaard, Majken; Xu, Yunhe; Wahren, Britta; Liang, Zicai; Ørum, Henrik; Koch, Troels; Wahlestedt, Claes"
Detection and characterization of horizontal transfers in prokaryotes using genomic signature,2005-01-13,"Dufraigne, Christine; Fertil, Bernard; Lespinats, Sylvain; Giron, Alain; Deschavanne, Patrick"
Expression profile of immune response genes in patients with Severe Acute Respiratory Syndrome,2005-01-18,"Reghunathan, Renji; Jayapal, Manikandan; Hsu, Li-Yang; Chng, Hiok-Hee; Tai, Dessmon; Leung, Bernard P; Melendez, Alirio J"
Molecular mechanisms of severe acute respiratory syndrome (SARS),2005-01-20,"Groneberg, David A; Hilgenfeld, Rolf; Zabel, Peter"
"A molecular beacon, bead-based assay for the detection of nucleic acids by flow cytometry",2005-01-19,"Horejsh, Douglas; Martini, Federico; Poccia, Fabrizio; Ippolito, Giuseppe; Di Caro, Antonino; Capobianchi, Maria R."
"Reference gene selection for quantitative real-time PCR analysis in virus infected cells: SARS corona virus, Yellow fever virus, Human Herpesvirus-6, Camelpox virus and Cytomegalovirus infections",2005-02-10,"Radonić, Aleksandar; Thulke, Stefanie; Bae, Hi-Gung; Müller, Marcel A; Siegert, Wolfgang; Nitsche, Andreas"
A novel pancoronavirus RT-PCR assay: frequent detection of human coronavirus NL63 in children hospitalized with respiratory tract infections in Belgium,2005-02-01,"Moës, Elien; Vijgen, Leen; Keyaerts, Els; Zlateva, Kalina; Li, Sandra; Maes, Piet; Pyrc, Krzysztof; Berkhout, Ben; van der Hoek, Lia; Van Ranst, Marc"
"Comparisons of substitution, insertion and deletion probes for resequencing and mutational analysis using oligonucleotide microarrays",2005-02-18,"Karaman, Mazen W.; Groshen, Susan; Lee, Chi-Chiang; Pike, Brian L.; Hacia, Joseph G."
The Severe Acute Respiratory Syndrome (SARS)-coronavirus 3a protein may function as a modulator of the trafficking properties of the spike protein,2005-02-10,"Tan, Yee-Joo"
The Courage to Change the Rules: A Proposal for an Essential Health R&D Treaty,2005-02-22,"Dentico, Nicoletta; Ford, Nathan"
SARS Transmission Pattern in Singapore Reassessed by Viral Sequence Variation Analysis,2005-02-22,"Liu, Jianjun; Lim, Siew Lan; Ruan, Yijun; Ling, Ai Ee; Ng, Lisa F. P; Drosten, Christian; Liu, Edison T; Stanton, Lawrence W; Hibberd, Martin L"
A Gene Encoding Sialic-Acid-Specific 9-O-Acetylesterase Found in Human Adult Testis,2004-07-29,"Zhu, Hu; Chang Chan, Hsiao; Zhou, Zuoming; Li, Jianming; Zhu, Hui; Yin, Lanlan; Xu, Ming; Cheng, Lijun; Sha, Jiahao"
Recombinant Tula hantavirus shows reduced fitness but is able to survive in the presence of a parental virus: analysis of consecutive passages in a cell culture,2005-02-22,"Plyusnina, Angelina; Plyusnin, Alexander"
Australia's international health relations in 2003,2005-02-21,"Barraclough, Simon"
Synergistic inhibition of human cytomegalovirus replication by interferon-alpha/beta and interferon-gamma,2005-02-23,"Sainz, Bruno; LaMarca, Heather L; Garry, Robert F; Morris, Cindy A"
Orientation determination by wavelets matching for 3D reconstruction of very noisy electron microscopic virus images,2005-03-02,"Saad, Ali Samir"
Recombination Every Day: Abundant Recombination in a Virus during a Single Multi-Cellular Host Infection,2005-03-01,"Froissart, Remy; Roze, Denis; Uzest, Marilyne; Galibert, Lionel; Blanc, Stephane; Michalakis, Yannis"
Why can't I visit? The ethics of visitation restrictions – lessons learned from SARS,2004-08-31,"Rogers, Sharon"
Prospective evaluation of an internet-linked handheld computer critical care knowledge access system,2004-10-14,"Lapinsky, Stephen E; Wax, Randy; Showalter, Randy; Martinez-Motta, J Carlos; Hallett, David; Mehta, Sangeeta; Burry, Lisa; Stewart, Thomas E"
Scanning the horizon: emerging hospital-wide technologies and their impact on critical care,2005-01-13,"Suntharalingam, Ganesh; Cousins, Jonathan; Gattas, David; Chapman, Martin"
"Characterization of the frameshift signal of Edr, a mammalian example of programmed −1 ribosomal frameshifting",2005-03-14,"Manktelow, Emily; Shigemoto, Kazuhiro; Brierley, Ian"
Correcting errors in synthetic DNA through consensus shuffling,2005-03-30,"Binkowski, Brock F.; Richmond, Kathryn E.; Kaysen, James; Sussman, Michael R.; Belshaw, Peter J."
Species-independent detection of RNA virus by representational difference analysis using non-ribosomal hexanucleotides for reverse transcription,2005-04-07,"Endoh, Daiji; Mizutani, Tetsuya; Kirisawa, Rikio; Maki, Yoshiyuki; Saito, Hidetoshi; Kon, Yasuhiro; Morikawa, Shigeru; Hayashi, Masanobu"
Subversion of Cellular Autophagosomal Machinery by RNA Viruses,2005-04-26,"Jackson, William T; Giddings, Thomas H; Taylor, Matthew P; Mulinyawe, Sara; Rabinovitch, Marlene; Kopito, Ron R; Kirkegaard, Karla"
The immediate effects of the severe acute respiratory syndrome (SARS) epidemic on childbirth in Taiwan,2005-04-04,"Lee, Cheng-Hua; Huang, Nicole; Chang, Hong-Jen; Hsu, Yea-Jen; Wang, Mei-Chu; Chou, Yiing-Jenq"
Molecular advances in the cell biology of SARS-CoV and current disease prevention strategies,2005-04-15,"Stark, Caren J; Atreya, CD"
Individual sequences in large sets of gene sequences may be distinguished efficiently by combinations of shared sub-sequences,2005-04-08,"Gibbs, Mark J; Armstrong, John S; Gibbs, Adrian J"
Absence of association between angiotensin converting enzyme polymorphism and development of adult respiratory distress syndrome in patients with severe acute respiratory syndrome: a case control study,2005-04-09,"Chan, KC Allen; Tang, Nelson LS; Hui, David SC; Chung, Grace TY; Wu, Alan KL; Chim, Stephen SC; Chiu, Rossa WK; Lee, Nelson; Choi, KW; Sung, YM; Chan, Paul KS; Tong, YK; Lai, ST; Yu, WC; Tsang, Owen; Lo, YM Dennis"
A Three-Stemmed mRNA Pseudoknot in the SARS Coronavirus Frameshift Signal,2005-05-17,"Plant, Ewan P; Pérez-Alvarado, Gabriela C; Jacobs, Jonathan L; Mukhopadhyay, Bani; Hennig, Mirko; Dinman, Jonathan D"
The Microbial Rosetta Stone Database: A compilation of global and emerging infectious microorganisms and bioterrorist threat agents,2005-04-25,"Ecker, David J; Sampath, Rangarajan; Willett, Paul; Wyatt, Jacqueline R; Samant, Vivek; Massire, Christian; Hall, Thomas A; Hari, Kumar; McNeil, John A; Büchen-Osmond, Cornelia; Budowle, Bruce"
HIV Epidemiology in Africa: Weak Variables and Tendentiousness Generate Wobbly Conclusions,2005-05-31,"Brody, Stuart; Potterat, John J"
"Inhibition of SARS-CoV 3C-like Protease Activity by Theaflavin-3,3′-digallate (TF3)",2005-04-07,"Chen, Chia-Nan; Lin, Coney P. C.; Huang, Kuo-Kuei; Chen, Wei-Cheng; Hsieh, Hsin-Pang; Liang, Po-Huang; Hsu, John T.-A."
Pseudoknots: RNA Structures with Diverse Functions,2005-06-14,"Staple, David W; Butcher, Samuel E"
Integration of the Gene Ontology into an object-oriented architecture,2005-05-10,"Shegogue, Daniel; Zheng, W Jim"
Software for optimization of SNP and PCR-RFLP genotyping to discriminate many genomes with the fewest assays,2005-05-16,"Gardner, Shea N; Wagner, Mark C"
CXCR2 is critical for dsRNA-induced lung injury: relevance to viral lung infection,2005-05-28,"Londhe, Vedang A; Belperio, John A; Keane, Michael P; Burdick, Marie D; Xue, Ying Ying; Strieter, Robert M"
Persistence of lung inflammation and lung cytokines with high-resolution CT abnormalities during recovery from SARS,2005-05-11,"Wang, Chun-Hua; Liu, Chien-Ying; Wan, Yung-Liang; Chou, Chun-Liang; Huang, Kuo-Hsiung; Lin, Horng-Chyuan; Lin, Shu-Min; Lin, Tzou-Yien; Chung, Kian Fan; Kuo, Han-Pin"
"PRED(BALB/c): a system for the prediction of peptide binding to H2(d) molecules, a haplotype of the BALB/c mouse",2005-07-01,"Zhang, Guang Lan; Srinivasan, Kellathur N.; Veeramani, Anitha; August, J. Thomas; Brusic, Vladimir"
GENSTYLE: exploration and analysis of DNA sequences with genomic signature,2005-07-01,"Fertil, Bernard; Massin, Matthieu; Lespinats, Sylvain; Devic, Caroline; Dumee, Philippe; Giron, Alain"
A Severe Acute Respiratory Syndrome extranet: supporting local communication and information dissemination,2005-06-20,"Valaitis, Ruta K; Akhtar-Danesh, Noori; Kealey, Cathy M; Brunetti, Glenn M; Thomas, Helen"
Engendering enthusiasm for sustainable disaster critical care response: why this is of consequence to critical care professionals?,2005-01-27,"Dara, Saqib I; Ashton, Rendell W; Farmer, J Christopher"
Biochip sensors for the rapid and sensitive detection of viral disease,2005-05-26,"Livingston, Andrew D; Campbell, Colin J; Wagner, Edward K; Ghazal, Peter"
Peptide inhibitors of dengue virus and West Nile virus infectivity,2005-06-01,"Hrobowski, Yancey M; Garry, Robert F; Michael, Scott F"
Appropriate Models for the Management of Infectious Diseases,2005-07-26,"Wearing, Helen J; Rohani, Pejman; Keeling, Matt J"
An atypical RNA pseudoknot stimulator and an upstream attenuation signal for −1 ribosomal frameshifting of SARS coronavirus,2005-07-29,"Su, Mei-Chi; Chang, Chung-Te; Chu, Chiu-Hui; Tsai, Ching-Hsiu; Chang, Kung-Yao"
Information theory-based algorithm for in silico prediction of PCR products with whole genomic sequences as templates,2005-07-26,"Cao, Youfang; Wang, Lianjie; Xu, Kexue; Kou, Chunhai; Zhang, Yulei; Wei, Guifang; He, Junjian; Wang, Yunfang; Zhao, Liping"
Genetic lesions within the 3a gene of SARS-CoV,2005-06-20,"Tan, Timothy HP; Barkham, Timothy; Fielding, Burtram C; Chou, Chih-Fong; Shen, Shuo; Lim, Seng Gee; Hong, Wanjin; Tan, Yee-Joo"
Conservation of pregnancy-specific glycoprotein (PSG) N domains following independent expansions of the gene families in rodents and primates,2005-06-29,"McLellan, Andrew S; Zimmermann, Wolfgang; Moore, Tom"
Croup Is Associated with the Novel Coronavirus NL63,2005-08-23,"van der Hoek, Lia; Sure, Klaus; Ihorst, Gabriele; Stang, Alexander; Pyrc, Krzysztof; Jebbink, Maarten F; Petersen, Gudula; Forster, Johannes; Berkhout, Ben; Überla, Klaus"
G0/G1 arrest and apoptosis induced by SARS-CoV 3b protein in transfected cells,2005-08-17,"Yuan, Xiaoling; Shan, Yajun; Zhao, Zhenhu; Chen, Jiapei; Cong, Yuwen"
eCAM benefits from diversity that derives from CAM,2005-09-10,"Cooper, Edwin L."
Design of Wide-Spectrum Inhibitors Targeting Coronavirus Main Proteases,2005-09-06,"Yang, Haitao; Xie, Weiqing; Xue, Xiaoyu; Yang, Kailin; Ma, Jing; Liang, Wenxue; Zhao, Qi; Zhou, Zhe; Pei, Duanqing; Ziebuhr, John; Hilgenfeld, Rolf; Yuen, Kwok Yung; Wong, Luet; Gao, Guangxia; Chen, Saijuan; Chen, Zhu; Ma, Dawei; Bartlam, Mark; Rao, Zihe"
Phosphatidylserine treatment relieves the block to retrovirus infection of cells expressing glycosylated virus receptors,2005-08-09,"Coil, David A; Miller, A Dusty"
The influence of locked nucleic acid residues on the thermodynamic properties of 2′-O-methyl RNA/RNA heteroduplexes,2005-09-09,"Kierzek, Elzbieta; Ciesielska, Anna; Pasternak, Karol; Mathews, David H.; Turner, Douglas H.; Kierzek, Ryszard"
A new paradigm in respiratory hygiene: increasing the cohesivity of airway secretions to improve cough interaction and reduce aerosol dispersion,2005-09-02,"Zayas, Gustavo; Dimitry, John; Zayas, Ana; O'Brien, Darryl; King, Malcolm"
The health impacts of globalisation: a conceptual framework,2005-08-03,"Huynen, Maud MTE; Martens, Pim; Hilderink, Henk BM"
The potential impact of the next influenza pandemic on a national primary care medical workforce,2005-08-11,"Wilson, Nick; Baker, Michael; Crampton, Peter; Mansoor, Osman"
Macrophages and cytokines in the early defence against herpes simplex virus,2005-08-03,"Ellermann-Eriksen, Svend"
"Patterns of HIV prevalence among injecting drug users in the cross-border area of Lang Son Province, Vietnam, and Ning Ming County, Guangxi Province, China",2005-08-24,"Des Jarlais, Don C; Johnston, Patrick; Friedmann, Patricia; Kling, Ryan; Liu, Wei; Ngu, Doan; Chen, Yi; Hoang, Tran V; Donghua, Meng; Van, Ly K; Tung, Nguyen D; Binh, Kieu T; Hammett, Theodore M"
Chloroquine is a potent inhibitor of SARS coronavirus infection and spread,2005-08-22,"Vincent, Martin J; Bergeron, Eric; Benjannet, Suzanne; Erickson, Bobbie R; Rollin, Pierre E; Ksiazek, Thomas G; Seidah, Nabil G; Nichol, Stuart T"
The SARS Coronavirus S Glycoprotein Receptor Binding Domain: Fine Mapping and Functional Characterization,2005-08-25,"Chakraborti, Samitabh; Prabakaran, Ponraj; Xiao, Xiaodong; Dimitrov, Dimiter S"
E-Predict: a computational strategy for species identification based on observed DNA microarray hybridization patterns,2005-08-30,"Urisman, Anatoly; Fischer, Kael F; Chiu, Charles Y; Kistler, Amy L; Beck, Shoshannah; Wang, David; DeRisi, Joseph L"
"Web GIS in practice III: creating a simple interactive map of England's Strategic Health Authorities using Google Maps API, Google Earth KML, and MSN Virtual Earth Map Control",2005-09-21,"Boulos, Maged N Kamel"
Unhealthy Landscapes: Policy Recommendations on Land Use Change and Infectious Disease Emergence,2004-04-22,"Patz, Jonathan A.; Daszak, Peter; Tabor, Gary M.; Aguirre, A. Alonso; Pearl, Mary; Epstein, Jon; Wolfe, Nathan D.; Kilpatrick, A. Marm; Foufopoulos, Johannes; Molyneux, David; Bradley, David J."
Understanding the Spatial Clustering of Severe Acute Respiratory Syndrome (SARS) in Hong Kong,2004-07-27,"Lai, P.C.; Wong, C.M.; Hedley, A.J.; Lo, S.V.; Leung, P.Y.; Kong, J.; Leung, G.M."
A combined nucleocapsid vaccine induces vigorous SARS-CD8+ T-cell immune responses,2005-08-22,"Azizi, Ali; Aucoin, Susan; Tadesse, Helina; Frost, Rita; Ghorbani, Masoud; Soare, Catalina; Naas, Turaya; Diaz-Mitoma, Francisco"
The Application of the Haddon Matrix to Public Health Readiness and Response Planning,2005-02-02,"Barnett, Daniel J.; Balicer, Ran D.; Blodgett, David; Fews, Ayanna L.; Parker, Cindy L.; Links, Jonathan M."
"Replicative homeostasis II: Influence of polymerase fidelity on RNA virus quasispecies biology: Implications for immune recognition, viral autoimmunity and other ""virus receptor"" diseases",2005-08-22,"Sallie, Richard"
Generation of human antibody fragments recognizing distinct epitopes of the nucleocapsid (N) SARS-CoV protein using a phage display approach,2005-09-19,"Flego, Michela; Di Bonito, Paola; Ascione, Alessandro; Zamboni, Silvia; Carattoli, Alessandra; Grasso, Felicia; Cassone, Antonio; Cianfriglia, Maurizio"
Molecular signature of clinical severity in recovering patients with severe acute respiratory syndrome coronavirus (SARS-CoV),2005-09-21,"Lee, Yun-Shien; Chen, Chun-Houh; Chao, Angel; Chen, En-Shih; Wei, Min-Li; Chen, Lung-Kun; Yang, Kuender D; Lin, Meng-Chih; Wang, Yi-Hsi; Liu, Jien-Wei; Eng, Hock-Liew; Chiang, Ping-Cherng; Wu, Ting-Shu; Tsao, Kuo-Chein; Huang, Chung-Guei; Tien, Yin-Jing; Wang, Tzu-Hao; Wang, Hsing-Shih; Lee, Ying-Shiung"
The effects of injection of bovine vaccine into a human digit: a case report,2005-10-11,"O'Neill, Jennifer K; Richards, Simon W; Ricketts, David M; Patterson, Marc H"
Draft versus finished sequence data for DNA and protein diagnostic signature development,2005-10-20,"Gardner, Shea N.; Lam, Marisa W.; Smith, Jason R.; Torres, Clinton L.; Slezak, Tom R."
Clinical review: SARS – lessons in disaster management,2005-01-13,"Hawryluck, Laura; Lapinsky, Stephen E; Stewart, Thomas E"
Bench-to-bedside review: Outcome predictions for critically ill patients in the emergency department,2005-04-18,"Hargrove, Jenny; Nguyen, H Bryant"
Critical care during epidemics,2005-04-27,"Rubinson, Lewis; O'Toole, Tara"
Pneumothorax and mortality in the mechanically ventilated SARS patients: a prospective clinical study,2005-06-22,"Kao, Hsin-Kuo; Wang, Jia-Horng; Sung, Chun-Sung; Huang, Ying-Che; Lien, Te-Cheng"
Using autoregressive integrated moving average (ARIMA) models to predict and monitor the number of beds occupied during a SARS outbreak in a tertiary hospital in Singapore,2005-05-11,"Earnest, Arul; Chen, Mark I; Ng, Donald; Sin, Leo Yee"
A simple and rapid approach for screening of SARS-coronavirus genotypes: an evaluation study,2005-10-18,"Chung, Grace TY; Chiu, Rossa WK; Cheung, Jo LK; Jin, Yongjie; Chim, Stephen SC; Chan, Paul KS; Lo, YM Dennis"
An analysis of the feasibility of short read sequencing,2005-11-07,"Whiteford, Nava; Haslam, Niall; Weber, Gerald; Prügel-Bennett, Adam; Essex, Jonathan W.; Roach, Peter L.; Bradley, Mark; Neylon, Cameron"
An ontology for immune epitopes: application to the design of a broad scope database of immune reactivities,2005-09-20,"Sathiamurthy, Muthuraman; Peters, Bjoern; Bui, Huynh-Hoa; Sidney, John; Mokili, John; Wilson, Stephen S; Fleri, Ward; McGuinness, Deborah L; Bourne, Philip E; Sette, Alessandro"
Limits to Forecasting Precision for Outbreaks of Directly Transmitted Diseases,2005-11-22,"Drake, John M"
Bench-to-bedside review: Adjuncts to mechanical ventilation in patients with acute lung injury,2005-06-28,"Rouby, Jean-Jacques; Lu, Qin"
Communication of bed allocation decisions in a critical care unit and accountability for reasonableness,2005-10-31,"Cooper, Andrew B; Joglekar, Amit S; Gibson, Jennifer; Swota, Alissa H; Martin, Douglas K"
Functional and Genetic Analysis of Coronavirus Replicase-Transcriptase Proteins,2005-12-09,"Sawicki, Stanley G; Sawicki, Dorothea L; Younker, Diane; Meyer, Yvonne; Thiel, Volker; Stokes, Helen; Siddell, Stuart G"
RNA Viral Community in Human Feces: Prevalence of Plant Pathogenic Viruses,2005-12-20,"Zhang, Tao; Breitbart, Mya; Lee, Wah Heng; Run, Jin-Quan; Wei, Chia Lin; Soh, Shirlena Wee Ling; Hibberd, Martin L; Liu, Edison T; Rohwer, Forest; Ruan, Yijun"
Evaluation of potential reference genes in real-time RT-PCR studies of Atlantic salmon,2005-11-17,"Olsvik, Pål A; Lie, Kai K; Jordal, Ann-Elise O; Nilsen, Tom O; Hordvik, Ivar"
Selection of reference genes for quantitative real-time PCR in bovine preimplantation embryos,2005-12-03,"Goossens, Karen; Van Poucke, Mario; Van Soom, Ann; Vandesompele, Jo; Van Zeveren, Alex; Peelman, Luc J"
The New International Health Regulations and the Federalism Dilemma,2005-12-20,"Wilson, Kumanan; McDougall, Christopher; Upshur, Ross"
Proinflammatory cytokine responses induced by influenza A (H5N1) viruses in primary human alveolar and bronchial epithelial cells,2005-11-11,"Chan, MCW; Cheung, CY; Chui, WH; Tsao, SW; Nicholls, JM; Chan, YO; Chan, RWY; Long, HT; Poon, LLM; Guan, Y; Peiris, JSM"
Promoter Variation in the DC-SIGN–Encoding Gene CD209 Is Associated with Tuberculosis,2006-01-03,"Barreiro, Luis B; Neyrolles, Olivier; Babb, Chantal L; Tailleux, Ludovic; Quach, Hélène; McElreavey, Ken; van Helden, Paul D.; Hoal, Eileen G; Gicquel, Brigitte; Quintana-Murci, Lluis"
Time Course and Cellular Localization of SARS-CoV Nucleoprotein and RNA in Lungs from Fatal Cases of SARS,2006-01-03,"Nicholls, John M; Butany, Jagdish; Poon, Leo L. M; Chan, Kwok H; Beh, Swan Lip; Poutanen, Susan; Peiris, J. S. Malik; Wong, Maria"
Gene-Specific Countermeasures against Ebola Virus Based on Antisense Phosphorodiamidate Morpholino Oligomers,2006-01-13,"Warfield, Kelly L; Swenson, Dana L; Olinger, Gene G; Nichols, Donald K; Pratt, William D; Blouch, Robert; Stein, David A; Aman, M. Javad; Iversen, Patrick L; Bavari, Sina"
Lung Infection—A Public Health Priority,2006-01-17,"Mizgerd, Joseph P"
